SampleID,PE_Bowtie,SE_Bowtie,SE_STAR
PB367_45,64.08989555391796,84.39861262589045,78.23
PB367_47,64.29640523880347,80.83973989554465,76.86
PB367_55,59.086956657848745,76.2782391180996,79.09
PB367_68,67.59943555256405,83.86806030439985,77.54
PB368_05,70.3735854850297,84.29228432726818,76.09
PB368_06,69.05392709468428,83.55531844375797,73.15
PB368_12,65.3899147479907,82.86844845597655,76.06
PB368_15,66.92730713333604,81.94716335847593,76.21
PB368_19,64.70432973990009,83.26020674357738,76.24
PB368_24,59.19748447555707,80.5919447205518,76.54
PB368_41,63.310308529305026,79.29565414932273,76.01
PB368_63,59.84974952412212,80.91457431869284,77.5
PB368_79,59.21454611128869,79.15634836790014,75.84
PB369_08,64.95632663020645,84.82936411108808,74.27
PB369_16,61.6401402016867,83.50945764289388,75.78
PB369_18,59.87887014719985,81.11545181732373,77.01
PB369_29,59.64988718064683,83.1173956455504,77.63
PB369_32,66.2380968126085,82.88461097516041,74.55
PB369_36,63.68416720616268,80.62231859166022,75.53
PB367_45_ES_B,70.07265282629726,87.00109849871842,77.83
PB369_07,59.93862974173469,83.26884200318723,75.18
PB357_07,60.43607319484544,81.6321846067779,77.26
PB357_12,70.67752253451489,88.56394477617617,70.05
