ensembl_gene_id,gene_biotype
ENSMUSG00000062369,protein_coding
ENSMUSG00000062480,protein_coding
ENSMUSG00000063594,protein_coding
ENSMUSG00000063611,protein_coding
ENSMUSG00000063704,protein_coding
ENSMUSG00000063730,protein_coding
ENSMUSG00000064158,protein_coding
ENSMUSG00000064220,protein_coding
ENSMUSG00000064246,protein_coding
ENSMUSG00000064288,protein_coding
ENSMUSG00000064294,protein_coding
ENSMUSG00000064308,protein_coding
ENSMUSG00000064354,protein_coding
ENSMUSG00000066319,protein_coding
ENSMUSG00000066500,protein_coding
ENSMUSG00000066760,protein_coding
ENSMUSG00000067242,protein_coding
ENSMUSG00000067299,protein_coding
ENSMUSG00000067455,protein_coding
ENSMUSG00000067562,protein_coding
ENSMUSG00000067616,protein_coding
ENSMUSG00000067764,protein_coding
ENSMUSG00000067768,protein_coding
ENSMUSG00000067818,protein_coding
ENSMUSG00000067929,protein_coding
ENSMUSG00000068263,protein_coding
ENSMUSG00000068299,protein_coding
ENSMUSG00000068893,protein_coding
ENSMUSG00000069265,protein_coding
ENSMUSG00000069268,protein_coding
ENSMUSG00000069270,protein_coding
ENSMUSG00000069274,protein_coding
ENSMUSG00000069300,protein_coding
ENSMUSG00000069302,protein_coding
ENSMUSG00000069303,protein_coding
ENSMUSG00000069305,protein_coding
ENSMUSG00000069306,protein_coding
ENSMUSG00000069622,protein_coding
ENSMUSG00000069855,protein_coding
ENSMUSG00000069917,protein_coding
ENSMUSG00000069920,protein_coding
ENSMUSG00000070031,protein_coding
ENSMUSG00000070034,protein_coding
ENSMUSG00000070287,protein_coding
ENSMUSG00000070424,protein_coding
ENSMUSG00000070529,protein_coding
ENSMUSG00000070604,protein_coding
ENSMUSG00000070616,protein_coding
ENSMUSG00000070870,protein_coding
ENSMUSG00000070902,protein_coding
ENSMUSG00000071052,protein_coding
ENSMUSG00000071273,protein_coding
ENSMUSG00000071478,protein_coding
ENSMUSG00000071516,protein_coding
ENSMUSG00000071613,protein_coding
ENSMUSG00000072115,protein_coding
ENSMUSG00000072476,protein_coding
ENSMUSG00000072479,protein_coding
ENSMUSG00000072553,protein_coding
ENSMUSG00000072814,protein_coding
ENSMUSG00000072821,protein_coding
ENSMUSG00000072822,protein_coding
ENSMUSG00000072905,protein_coding
ENSMUSG00000073027,protein_coding
ENSMUSG00000073063,protein_coding
ENSMUSG00000073243,protein_coding
ENSMUSG00000073412,protein_coding
ENSMUSG00000073497,protein_coding
ENSMUSG00000074199,protein_coding
ENSMUSG00000074203,protein_coding
ENSMUSG00000074336,protein_coding
ENSMUSG00000074403,protein_coding
ENSMUSG00000074424,protein_coding
ENSMUSG00000074489,protein_coding
ENSMUSG00000074502,protein_coding
ENSMUSG00000074593,protein_coding
ENSMUSG00000075015,protein_coding
ENSMUSG00000075031,protein_coding
ENSMUSG00000075046,protein_coding
ENSMUSG00000075304,protein_coding
ENSMUSG00000075370,protein_coding
ENSMUSG00000075602,protein_coding
ENSMUSG00000075610,protein_coding
ENSMUSG00000078206,protein_coding
ENSMUSG00000078208,protein_coding
ENSMUSG00000078451,protein_coding
ENSMUSG00000078511,protein_coding
ENSMUSG00000078512,protein_coding
ENSMUSG00000078537,protein_coding
ENSMUSG00000078624,protein_coding
ENSMUSG00000078747,protein_coding
ENSMUSG00000078808,protein_coding
ENSMUSG00000078817,protein_coding
ENSMUSG00000078880,protein_coding
ENSMUSG00000078886,protein_coding
ENSMUSG00000078889,protein_coding
ENSMUSG00000078894,protein_coding
ENSMUSG00000078931,protein_coding
ENSMUSG00000078963,protein_coding
ENSMUSG00000079014,protein_coding
ENSMUSG00000079017,protein_coding
ENSMUSG00000079031,protein_coding
ENSMUSG00000079033,protein_coding
ENSMUSG00000079110,protein_coding
ENSMUSG00000079173,protein_coding
ENSMUSG00000079227,protein_coding
ENSMUSG00000079242,protein_coding
ENSMUSG00000079262,protein_coding
ENSMUSG00000079364,protein_coding
ENSMUSG00000079387,protein_coding
ENSMUSG00000079388,protein_coding
ENSMUSG00000079391,protein_coding
ENSMUSG00000079396,protein_coding
ENSMUSG00000079402,protein_coding
ENSMUSG00000079410,protein_coding
ENSMUSG00000079415,protein_coding
ENSMUSG00000079492,protein_coding
ENSMUSG00000079536,protein_coding
ENSMUSG00000079605,protein_coding
ENSMUSG00000079707,protein_coding
ENSMUSG00000079710,protein_coding
ENSMUSG00000079845,protein_coding
ENSMUSG00000081058,protein_coding
ENSMUSG00000081443,protein_coding
ENSMUSG00000083780,protein_coding
ENSMUSG00000084897,protein_coding
ENSMUSG00000085925,protein_coding
ENSMUSG00000086322,protein_coding
ENSMUSG00000087119,protein_coding
ENSMUSG00000087385,protein_coding
ENSMUSG00000089661,protein_coding
ENSMUSG00000089696,protein_coding
ENSMUSG00000089704,protein_coding
ENSMUSG00000089768,protein_coding
ENSMUSG00000090206,protein_coding
ENSMUSG00000090268,protein_coding
ENSMUSG00000090353,protein_coding
ENSMUSG00000090440,protein_coding
ENSMUSG00000090551,protein_coding
ENSMUSG00000090625,protein_coding
ENSMUSG00000090639,protein_coding
ENSMUSG00000090643,protein_coding
ENSMUSG00000090691,protein_coding
ENSMUSG00000090812,protein_coding
ENSMUSG00000090840,protein_coding
ENSMUSG00000090854,protein_coding
ENSMUSG00000090981,protein_coding
ENSMUSG00000091080,protein_coding
ENSMUSG00000091101,protein_coding
ENSMUSG00000091119,protein_coding
ENSMUSG00000091415,protein_coding
ENSMUSG00000091472,protein_coding
ENSMUSG00000091563,protein_coding
ENSMUSG00000091649,protein_coding
ENSMUSG00000091754,protein_coding
ENSMUSG00000091779,protein_coding
ENSMUSG00000091898,protein_coding
ENSMUSG00000092074,protein_coding
ENSMUSG00000092086,protein_coding
ENSMUSG00000092116,protein_coding
ENSMUSG00000092167,protein_coding
ENSMUSG00000092232,protein_coding
ENSMUSG00000092586,protein_coding
ENSMUSG00000093456,protein_coding
ENSMUSG00000093593,protein_coding
ENSMUSG00000093769,protein_coding
ENSMUSG00000093847,protein_coding
ENSMUSG00000093979,protein_coding
ENSMUSG00000093985,protein_coding
ENSMUSG00000094030,protein_coding
ENSMUSG00000094116,protein_coding
ENSMUSG00000094132,protein_coding
ENSMUSG00000094144,protein_coding
ENSMUSG00000094237,protein_coding
ENSMUSG00000094314,protein_coding
ENSMUSG00000094370,protein_coding
ENSMUSG00000094378,protein_coding
ENSMUSG00000094443,protein_coding
ENSMUSG00000094472,protein_coding
ENSMUSG00000094487,protein_coding
ENSMUSG00000094560,protein_coding
ENSMUSG00000094622,protein_coding
ENSMUSG00000094634,protein_coding
ENSMUSG00000094649,protein_coding
ENSMUSG00000094690,protein_coding
ENSMUSG00000094777,protein_coding
ENSMUSG00000094796,protein_coding
ENSMUSG00000094800,protein_coding
ENSMUSG00000094817,protein_coding
ENSMUSG00000094825,protein_coding
ENSMUSG00000094973,protein_coding
ENSMUSG00000095022,protein_coding
ENSMUSG00000095048,protein_coding
ENSMUSG00000095071,protein_coding
ENSMUSG00000095217,protein_coding
ENSMUSG00000095266,protein_coding
ENSMUSG00000095304,protein_coding
ENSMUSG00000095339,protein_coding
ENSMUSG00000095409,protein_coding
ENSMUSG00000095514,protein_coding
ENSMUSG00000095648,protein_coding
ENSMUSG00000095653,protein_coding
ENSMUSG00000095681,protein_coding
ENSMUSG00000095718,protein_coding
ENSMUSG00000095724,protein_coding
ENSMUSG00000095891,protein_coding
ENSMUSG00000095936,protein_coding
ENSMUSG00000095975,protein_coding
ENSMUSG00000096001,protein_coding
ENSMUSG00000096066,protein_coding
ENSMUSG00000096139,protein_coding
ENSMUSG00000096154,protein_coding
ENSMUSG00000096230,protein_coding
ENSMUSG00000096284,protein_coding
ENSMUSG00000096323,protein_coding
ENSMUSG00000096333,protein_coding
ENSMUSG00000096463,protein_coding
ENSMUSG00000096488,protein_coding
ENSMUSG00000096528,protein_coding
ENSMUSG00000096619,protein_coding
ENSMUSG00000096629,protein_coding
ENSMUSG00000096727,protein_coding
ENSMUSG00000096744,protein_coding
ENSMUSG00000096775,protein_coding
ENSMUSG00000096793,protein_coding
ENSMUSG00000096803,protein_coding
ENSMUSG00000096856,protein_coding
ENSMUSG00000096879,protein_coding
ENSMUSG00000096904,protein_coding
ENSMUSG00000096968,protein_coding
ENSMUSG00000097078,protein_coding
ENSMUSG00000097221,protein_coding
ENSMUSG00000097427,protein_coding
ENSMUSG00000097481,protein_coding
ENSMUSG00000097550,protein_coding
ENSMUSG00000097821,protein_coding
ENSMUSG00000097878,protein_coding
ENSMUSG00000098078,protein_coding
ENSMUSG00000098387,protein_coding
ENSMUSG00000098463,protein_coding
ENSMUSG00000098692,protein_coding
ENSMUSG00000098781,protein_coding
ENSMUSG00000099517,protein_coding
ENSMUSG00000099908,protein_coding
ENSMUSG00000100967,protein_coding
ENSMUSG00000101355,protein_coding
ENSMUSG00000101436,protein_coding
ENSMUSG00000101645,protein_coding
ENSMUSG00000102428,protein_coding
ENSMUSG00000102439,protein_coding
ENSMUSG00000102742,protein_coding
ENSMUSG00000104217,protein_coding
ENSMUSG00000104445,protein_coding
ENSMUSG00000105204,protein_coding
ENSMUSG00000106631,protein_coding
ENSMUSG00000107167,protein_coding
ENSMUSG00000107478,protein_coding
ENSMUSG00000107499,protein_coding
ENSMUSG00000108976,protein_coding
ENSMUSG00000109368,protein_coding
ENSMUSG00000109523,protein_coding
