ensembl_gene_id,gene_biotype
ENSMUSG00000002428,protein_coding
ENSMUSG00000002455,protein_coding
ENSMUSG00000002458,protein_coding
ENSMUSG00000002475,protein_coding
ENSMUSG00000002477,protein_coding
ENSMUSG00000002486,protein_coding
ENSMUSG00000002489,protein_coding
ENSMUSG00000002496,protein_coding
ENSMUSG00000002500,protein_coding
ENSMUSG00000002504,protein_coding
ENSMUSG00000002524,protein_coding
ENSMUSG00000002546,protein_coding
ENSMUSG00000002550,protein_coding
ENSMUSG00000002578,protein_coding
ENSMUSG00000002580,protein_coding
ENSMUSG00000002602,protein_coding
ENSMUSG00000002608,protein_coding
ENSMUSG00000002617,protein_coding
ENSMUSG00000002625,protein_coding
ENSMUSG00000002635,protein_coding
ENSMUSG00000002658,protein_coding
ENSMUSG00000002660,protein_coding
ENSMUSG00000002661,protein_coding
ENSMUSG00000002668,protein_coding
ENSMUSG00000002679,protein_coding
ENSMUSG00000002688,protein_coding
ENSMUSG00000002718,protein_coding
ENSMUSG00000002728,protein_coding
ENSMUSG00000002731,protein_coding
ENSMUSG00000002732,protein_coding
ENSMUSG00000002733,protein_coding
ENSMUSG00000002741,protein_coding
ENSMUSG00000002748,protein_coding
ENSMUSG00000002763,protein_coding
ENSMUSG00000002767,protein_coding
ENSMUSG00000002768,protein_coding
ENSMUSG00000002769,protein_coding
ENSMUSG00000002778,protein_coding
ENSMUSG00000002781,protein_coding
ENSMUSG00000002797,protein_coding
ENSMUSG00000002799,protein_coding
ENSMUSG00000002803,protein_coding
ENSMUSG00000002804,protein_coding
ENSMUSG00000002808,protein_coding
ENSMUSG00000002812,protein_coding
ENSMUSG00000002814,protein_coding
ENSMUSG00000002820,protein_coding
ENSMUSG00000002825,protein_coding
ENSMUSG00000002833,protein_coding
ENSMUSG00000002835,protein_coding
ENSMUSG00000002844,protein_coding
ENSMUSG00000002845,protein_coding
ENSMUSG00000002846,protein_coding
ENSMUSG00000002847,protein_coding
ENSMUSG00000002870,protein_coding
ENSMUSG00000002871,protein_coding
ENSMUSG00000002881,protein_coding
ENSMUSG00000002885,protein_coding
ENSMUSG00000002897,protein_coding
ENSMUSG00000002900,protein_coding
ENSMUSG00000002908,protein_coding
ENSMUSG00000002910,protein_coding
ENSMUSG00000002948,protein_coding
ENSMUSG00000002949,protein_coding
ENSMUSG00000002957,protein_coding
ENSMUSG00000002963,protein_coding
ENSMUSG00000002968,protein_coding
ENSMUSG00000002980,protein_coding
ENSMUSG00000002981,protein_coding
ENSMUSG00000002983,protein_coding
ENSMUSG00000002984,protein_coding
ENSMUSG00000002985,protein_coding
